Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
2710000,1.4053811,-0.0879251,999.0,-1.6875,-1.6875,1.0
2720000,1.4059252,-0.008373834,999.0,0.0,0.0,1.0
2730000,1.4059252,-0.016278626,999.0,0.0,0.0,1.0
2740000,1.4060204,-0.055770777,999.0,0.0,0.0,1.0
2750000,1.4060174,-0.0011398576,999.0,0.0,0.0,1.0
2760000,1.4057238,-0.0075157224,999.0,-0.16666666666666666,-0.16666666666666666,1.0
2770000,1.4056696,-0.010263096,999.0,0.0,0.0,1.0
2780000,1.4054492,-0.10738983,999.0,-3.25,-3.25,1.0
2790000,1.405382,-0.017520892,999.0,-0.1875,-0.1875,1.0
2800000,1.4050505,-0.008642454,999.0,-0.1,-0.1,1.0
2810000,1.4048882,-0.008393051,999.0,0.0,0.0,1.0
2820000,1.4047111,-0.008429891,999.0,0.0,0.0,1.0
2830000,1.4045753,-0.0080458345,999.0,0.0,0.0,1.0
2840000,1.4044347,-0.050770935,999.0,-0.4666666666666667,-0.4666666666666667,1.0
2850000,1.4042624,-0.007248306,999.0,0.0,0.0,1.0
2860000,1.404089,-0.03432326,999.0,-0.3125,-0.3125,1.0
2870000,1.4038011,-0.004520164,999.0,0.0,0.0,1.0
2880000,1.4038222,-0.09944267,999.0,-0.3333333333333333,-0.3333333333333333,1.0
2890000,1.4038829,-0.013994502,999.0,-0.2222222222222222,-0.2222222222222222,1.0
2900000,1.4038457,-0.03682395,999.0,-0.25,-0.25,1.0
2910000,1.4036472,-0.035984624,999.0,0.0,0.0,1.0
2920000,1.4036279,-0.08805021,999.0,-0.43333333333333335,-0.43333333333333335,1.0
2930000,1.4032725,-0.009193005,999.0,0.0,0.0,1.0
2940000,1.4032725,-0.07909051,999.0,-0.75,-0.75,1.0
2950000,1.4028758,-0.023611797,999.0,-0.1875,-0.1875,1.0
2960000,1.4028618,-0.05202667,999.0,-0.7666666666666667,-0.7666666666666667,1.0
2970000,1.4026942,-0.05514443,999.0,0.0,0.0,1.0
2980000,1.4026712,-0.05862569,999.0,0.0,0.0,1.0
2990000,1.40241,-0.06082213,999.0,-1.0,-1.0,1.0
3000000,1.4023234,-0.015340678,999.0,-0.03333333333333333,-0.03333333333333333,1.0
3010000,1.4024276,-0.021981817,999.0,0.0,0.0,1.0
3020000,1.4024931,-0.013043778,999.0,0.0,0.0,1.0
3030000,1.4024377,-0.025366945,999.0,-0.125,-0.125,1.0
3040000,1.4023958,-0.040755033,999.0,-0.13333333333333333,-0.13333333333333333,1.0
3050000,1.4022143,-0.0170443,999.0,0.0,0.0,1.0
3060000,1.4019998,-0.028339375,999.0,-0.4375,-0.4375,1.0
3070000,1.4019889,-0.04912938,999.0,-3.0625,-3.0625,1.0
3080000,1.4019872,-0.0413436,999.0,-0.8666666666666667,-0.8666666666666667,1.0
3090000,1.4022135,-0.020172395,999.0,0.0,0.0,1.0
3100000,1.4029008,-0.021677531,999.0,-0.125,-0.125,1.0
3110000,1.4029932,-0.03517627,999.0,-1.25,-1.25,1.0
3120000,1.4034423,-0.020461857,999.0,0.0,0.0,1.0
3130000,1.4034295,-0.012738362,999.0,0.0,0.0,1.0
3140000,1.403208,-0.047927573,999.0,-0.125,-0.125,1.0
3150000,1.403208,-0.017833738,999.0,0.0,0.0,1.0
